Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Male,Loyal Customer,,,Business,,1,1,5,1,4,4,,,4,5,5,3,4,,,0.0,satisfied
Female,Loyal Customer,16.0,,Eco,,3,5,3,2,2,3,2.0,,3,5,5,3,5,,,0.0,neutral or dissatisfied
Female,Loyal Customer,15.0,Personal Travel,Eco Plus,,2,5,2,3,1,2,,,5,2,4,4,5,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,,Personal Travel,Business,,4,3,4,4,5,4,,5.0,2,3,2,4,2,5.0,,0.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Eco,,2,4,2,5,4,2,,,1,4,3,5,5,,,0.0,neutral or dissatisfied
Female,disloyal Customer,,,Business,,2,2,2,2,4,2,4.0,,4,3,3,2,2,,47.0,29.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Eco,223.0,5,2,2,2,5,5,,,1,5,5,1,3,,,0.0,satisfied
Female,Loyal Customer,20.0,Personal Travel,Eco,,1,3,2,1,3,2,,,5,2,5,4,4,3.0,,0.0,neutral or dissatisfied
Female,disloyal Customer,35.0,Business travel,Business,,4,4,4,3,3,4,,,5,2,5,5,5,,,0.0,neutral or dissatisfied
Male,Loyal Customer,53.0,Business travel,Eco,895.0,3,3,3,3,3,3,3.0,,1,4,3,1,4,3.0,,26.0,neutral or dissatisfied
Female,Loyal Customer,54.0,,Business,2607.0,1,1,2,1,5,5,,,5,2,3,5,4,5.0,,284.0,satisfied
Male,disloyal Customer,34.0,Business travel,Business,,2,2,2,1,5,2,5.0,,5,4,4,3,5,5.0,,0.0,neutral or dissatisfied
Male,Loyal Customer,,Personal Travel,Eco,337.0,1,5,1,4,2,1,,,3,4,5,4,5,2.0,0.0,30.0,neutral or dissatisfied
Female,Loyal Customer,,,Eco,,2,4,2,4,4,5,,,3,2,3,5,3,3.0,,0.0,neutral or dissatisfied
Male,Loyal Customer,55.0,Business travel,Business,,3,3,3,3,5,5,,,5,5,5,5,5,4.0,,0.0,satisfied
Male,Loyal Customer,50.0,,Business,,1,1,4,1,2,4,,,4,5,4,5,4,,,0.0,satisfied
Female,Loyal Customer,58.0,Business travel,Eco Plus,,4,3,3,3,1,1,2.0,,4,4,4,4,4,4.0,,0.0,satisfied
Female,Loyal Customer,60.0,Business travel,Business,399.0,3,3,3,3,4,4,,,4,4,4,5,4,4.0,,27.0,satisfied
Female,Loyal Customer,,Business travel,Business,,1,1,3,1,3,4,3.0,,1,1,1,1,1,,,17.0,neutral or dissatisfied
Male,Loyal Customer,,,Eco Plus,,2,5,5,5,2,2,2.0,,1,2,1,3,1,2.0,,0.0,satisfied
Male,Loyal Customer,26.0,,Business,,3,5,3,5,1,3,1.0,,5,5,5,5,1,,,0.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Business,,1,1,1,3,3,1,3.0,,3,1,3,1,4,3.0,4.0,9.0,neutral or dissatisfied
Female,Loyal Customer,,Business travel,Eco Plus,,2,3,3,3,2,2,,,2,5,3,4,3,2.0,,0.0,satisfied
Female,disloyal Customer,,,Eco,581.0,1,1,0,3,3,0,,,3,3,3,4,2,,,8.0,neutral or dissatisfied
Female,Loyal Customer,,,Business,,2,2,3,2,5,5,5.0,,5,5,5,3,5,,,,satisfied
Male,Loyal Customer,38.0,Business travel,Business,,5,4,5,5,5,5,5.0,,4,4,5,5,4,,,4.0,satisfied
Male,Loyal Customer,,Business travel,Eco,,4,2,2,2,4,4,4.0,,3,4,5,1,3,,2.0,0.0,satisfied
Male,Loyal Customer,31.0,,Eco,289.0,2,2,3,3,2,2,2.0,,1,4,4,1,4,2.0,,0.0,neutral or dissatisfied
Male,Loyal Customer,32.0,Business travel,Business,,4,4,4,4,4,4,4.0,,3,4,4,4,4,,,4.0,satisfied
Male,disloyal Customer,23.0,Business travel,Eco,,1,1,1,2,1,1,1.0,,4,5,2,3,2,1.0,,0.0,neutral or dissatisfied
Female,Loyal Customer,37.0,Personal Travel,Eco,,1,5,1,3,3,1,,3.0,5,3,4,5,5,3.0,8.0,0.0,neutral or dissatisfied
Female,Loyal Customer,50.0,Business travel,Eco,,3,1,1,1,2,4,,3.0,3,3,3,1,3,,,121.0,neutral or dissatisfied
Male,Loyal Customer,28.0,Personal Travel,Eco,,3,4,3,3,4,3,,4.0,4,5,4,5,4,,,25.0,neutral or dissatisfied
Female,Loyal Customer,23.0,,Business,,1,1,1,1,4,4,4.0,,3,2,5,4,5,,,87.0,satisfied
Female,Loyal Customer,30.0,Business travel,Business,,4,4,4,4,4,4,,4.0,4,3,4,4,4,,,14.0,satisfied
Male,Loyal Customer,19.0,Business travel,Eco,,4,4,3,4,4,4,4.0,,1,1,4,1,2,,,0.0,satisfied
Female,Loyal Customer,58.0,Business travel,Business,,5,5,5,5,3,4,5.0,5.0,5,5,5,5,5,5.0,0.0,0.0,satisfied
Male,Loyal Customer,,Business travel,Business,,0,4,0,3,3,4,,,5,5,2,5,5,,,0.0,satisfied
Male,Loyal Customer,14.0,Personal Travel,Eco,,4,2,4,4,5,4,,5.0,2,2,4,3,4,5.0,,0.0,neutral or dissatisfied
Female,Loyal Customer,37.0,,Eco,431.0,3,4,4,4,3,2,3.0,,1,3,4,1,4,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,31.0,,Eco,,3,5,5,5,3,3,3.0,,3,1,4,1,3,,3.0,0.0,neutral or dissatisfied
Female,Loyal Customer,,,Business,,1,1,5,1,2,4,4.0,4.0,4,4,4,5,4,,1.0,0.0,satisfied
Female,Loyal Customer,68.0,Personal Travel,Eco,,4,2,4,3,3,4,,3.0,3,4,3,1,3,1.0,,0.0,neutral or dissatisfied
Female,Loyal Customer,7.0,Personal Travel,Eco,,2,1,2,2,2,2,2.0,,3,1,2,1,2,,97.0,120.0,neutral or dissatisfied
Male,Loyal Customer,62.0,Personal Travel,Eco,,1,3,1,5,2,1,3.0,,2,2,4,1,3,,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,,,Business,1068.0,3,3,3,3,2,3,2.0,2.0,3,5,5,3,4,2.0,,77.0,neutral or dissatisfied
Female,Loyal Customer,,,Business,,2,5,5,5,5,3,,,2,2,2,1,2,1.0,,0.0,neutral or dissatisfied
Male,Loyal Customer,18.0,Personal Travel,Eco,,3,2,3,2,3,3,,3.0,3,1,1,3,2,,,0.0,neutral or dissatisfied
Female,Loyal Customer,39.0,Personal Travel,Eco,,4,5,4,1,5,4,5.0,5.0,3,2,4,5,5,,2.0,3.0,neutral or dissatisfied
Female,Loyal Customer,49.0,,Business,2080.0,1,1,1,1,2,5,5.0,,4,5,4,4,4,,,0.0,satisfied
Male,disloyal Customer,27.0,Business travel,Eco,,0,0,0,4,1,0,1.0,1.0,5,5,2,3,2,1.0,,0.0,satisfied
Female,Loyal Customer,,,Eco,,4,4,4,4,1,4,,,4,4,4,2,4,2.0,,7.0,neutral or dissatisfied
Female,Loyal Customer,,Personal Travel,Eco Plus,950.0,2,1,2,4,5,2,4.0,,2,2,3,3,3,5.0,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Eco,,4,2,2,2,4,4,,,5,1,1,5,3,,,0.0,satisfied
Female,Loyal Customer,,,Business,,3,4,4,4,3,3,,,3,3,3,1,3,,,0.0,neutral or dissatisfied
Male,Loyal Customer,,,Eco,,5,4,3,3,5,5,5.0,,3,2,4,1,2,5.0,,0.0,satisfied
Male,Loyal Customer,41.0,Business travel,Business,444.0,5,5,5,5,2,4,,,5,5,5,5,5,,,0.0,satisfied
Male,Loyal Customer,,Personal Travel,Eco,1199.0,3,3,3,3,2,3,,2.0,3,5,4,3,3,,,50.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Eco,965.0,3,2,2,2,3,3,3.0,,2,4,3,1,4,3.0,,0.0,neutral or dissatisfied
Female,Loyal Customer,60.0,Personal Travel,Eco,,2,5,0,1,2,5,5.0,,2,0,3,4,2,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,24.0,,Eco Plus,,5,1,1,1,5,5,,,3,5,1,5,1,5.0,,0.0,satisfied
Female,Loyal Customer,,,Eco,259.0,3,2,2,2,3,3,3.0,,1,2,3,2,3,,6.0,2.0,neutral or dissatisfied
Male,Loyal Customer,27.0,Personal Travel,Eco,,2,5,2,1,2,2,,,3,3,4,4,5,2.0,47.0,22.0,neutral or dissatisfied
Male,Loyal Customer,61.0,,Eco Plus,,4,4,3,4,3,4,4.0,,3,5,5,4,3,4.0,,135.0,neutral or dissatisfied
Female,Loyal Customer,,Personal Travel,Eco,,2,4,2,4,1,2,1.0,1.0,1,1,3,4,3,,0.0,9.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Business,2817.0,5,5,5,5,5,5,4.0,,5,5,5,3,5,,0.0,0.0,satisfied
Female,Loyal Customer,29.0,Business travel,Business,,5,5,3,5,4,4,,,1,2,5,2,3,4.0,,11.0,satisfied
Male,Loyal Customer,24.0,Business travel,Business,192.0,5,5,4,5,4,4,,4.0,3,3,4,3,4,,,34.0,satisfied
Male,disloyal Customer,,,Business,1739.0,3,3,3,2,4,3,4.0,,3,3,4,5,5,,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,,,Business,,2,2,2,2,2,4,,,4,4,4,3,4,,29.0,4.0,satisfied
Female,Loyal Customer,39.0,Business travel,Business,2586.0,4,4,5,4,5,3,5.0,,5,5,5,3,5,,,1.0,satisfied
Female,Loyal Customer,,,Eco,,4,3,3,3,4,4,,,3,4,3,5,2,4.0,,0.0,satisfied
Female,disloyal Customer,,,Eco,,4,4,4,3,5,4,,5.0,3,3,4,3,5,,18.0,5.0,neutral or dissatisfied
Female,Loyal Customer,44.0,Business travel,Business,,3,3,3,3,5,5,,,5,5,5,5,5,4.0,59.0,62.0,satisfied
Female,Loyal Customer,,,Business,2061.0,4,4,4,4,4,1,,,4,4,3,4,4,4.0,0.0,0.0,satisfied
Female,Loyal Customer,,Business travel,Business,,1,2,2,2,1,3,3.0,,1,1,1,1,1,1.0,,0.0,neutral or dissatisfied
Female,Loyal Customer,69.0,Personal Travel,Eco,,3,3,3,1,5,4,3.0,,5,3,5,4,5,,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,28.0,Business travel,Business,,2,2,2,2,2,2,2.0,2.0,5,2,4,4,5,2.0,70.0,31.0,neutral or dissatisfied
Female,Loyal Customer,29.0,Business travel,Business,,3,3,5,3,4,4,4.0,4.0,4,4,4,3,5,,,3.0,satisfied
Female,Loyal Customer,55.0,,Eco,,4,5,5,5,1,4,3.0,4.0,4,4,4,2,4,,,23.0,neutral or dissatisfied
Male,Loyal Customer,,Personal Travel,Business,,3,1,3,3,2,3,2.0,,5,3,2,2,5,1.0,,0.0,neutral or dissatisfied
Female,Loyal Customer,17.0,,Business,1626.0,1,2,2,2,1,1,,,4,4,3,2,3,,,0.0,neutral or dissatisfied
Female,Loyal Customer,22.0,Personal Travel,Business,,4,5,4,3,3,4,,,2,3,5,1,1,3.0,,11.0,satisfied
Male,Loyal Customer,,Business travel,Business,,2,2,2,2,4,4,5.0,4.0,4,4,4,4,4,5.0,0.0,0.0,satisfied
Female,Loyal Customer,,Personal Travel,Eco,354.0,4,3,4,4,1,4,,,1,5,3,2,3,,2.0,7.0,neutral or dissatisfied
Male,Loyal Customer,,Personal Travel,Eco,,0,4,0,3,5,0,5.0,,5,5,2,3,5,,,18.0,satisfied
Female,disloyal Customer,29.0,,Eco,,1,0,1,4,5,1,5.0,,5,2,4,5,2,,,5.0,neutral or dissatisfied
Male,Loyal Customer,52.0,Personal Travel,Eco,,2,3,2,1,2,2,,,3,4,4,4,3,2.0,,0.0,neutral or dissatisfied
Male,Loyal Customer,39.0,Business travel,Business,1832.0,2,4,4,4,5,3,4.0,2.0,2,1,2,1,2,,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Business,3648.0,2,2,2,2,5,4,,,4,4,4,4,4,4.0,,5.0,satisfied
Female,Loyal Customer,,Personal Travel,Business,,3,3,3,5,2,3,,2.0,3,2,3,4,1,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,,,Business,2133.0,4,4,4,4,4,4,4.0,,2,2,2,3,2,,113.0,98.0,satisfied
Female,Loyal Customer,,Personal Travel,Eco,,3,2,3,4,2,3,4.0,,3,3,5,4,3,,7.0,5.0,neutral or dissatisfied
Male,Loyal Customer,,Personal Travel,Eco,,1,2,1,4,5,1,,,1,1,3,2,3,,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,30.0,,Eco,,4,4,4,2,4,4,,,5,5,5,3,5,,,30.0,neutral or dissatisfied
Male,Loyal Customer,41.0,,Business,1242.0,3,5,4,5,4,4,,,3,3,3,1,3,,,0.0,neutral or dissatisfied
Male,Loyal Customer,32.0,Business travel,Business,,2,2,2,2,2,2,,,3,5,3,3,3,,,34.0,neutral or dissatisfied
Female,disloyal Customer,,,Business,,3,3,3,3,5,3,5.0,,5,5,5,3,5,,,0.0,neutral or dissatisfied
Female,Loyal Customer,,,Business,,2,2,2,2,2,4,4.0,,4,4,4,4,4,5.0,,33.0,satisfied
Female,Loyal Customer,,,Business,566.0,3,5,3,5,2,3,2.0,,3,4,4,4,5,2.0,,21.0,neutral or dissatisfied
Female,Loyal Customer,,Business travel,Eco,,4,3,3,3,2,5,2.0,,3,4,3,1,3,,,49.0,satisfied
Female,Loyal Customer,7.0,,Eco Plus,,4,5,4,2,1,4,,,2,5,1,4,3,1.0,,18.0,neutral or dissatisfied
Female,Loyal Customer,19.0,,Business,,3,3,3,4,3,3,3.0,3.0,3,5,3,2,4,3.0,,7.0,neutral or dissatisfied
Female,disloyal Customer,,Business travel,Eco,,3,3,3,4,2,3,2.0,2.0,3,4,3,4,4,2.0,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,49.0,Business travel,Business,1598.0,4,4,3,4,2,2,,,2,5,4,2,4,,201.0,186.0,satisfied
Male,disloyal Customer,,Business travel,Business,,2,3,3,4,3,5,5.0,4.0,5,4,3,5,1,5.0,291.0,292.0,neutral or dissatisfied
Female,Loyal Customer,36.0,,Business,,4,4,4,4,2,4,4.0,,4,4,4,5,4,,6.0,6.0,satisfied
Male,Loyal Customer,,,Business,475.0,3,2,2,2,5,2,,,3,3,3,1,3,3.0,,0.0,neutral or dissatisfied
Male,Loyal Customer,58.0,,Business,,4,4,4,4,5,4,,,4,4,4,5,4,,0.0,0.0,satisfied
Female,Loyal Customer,49.0,,Eco,,5,5,5,5,1,4,,,5,5,5,2,5,,0.0,0.0,satisfied
Male,Loyal Customer,53.0,Business travel,Business,3038.0,0,0,0,3,2,5,5.0,,3,4,4,3,3,,,0.0,satisfied
Female,Loyal Customer,,,Business,,3,4,4,4,3,3,,,3,3,3,3,3,,2.0,19.0,neutral or dissatisfied
Female,disloyal Customer,22.0,Business travel,Eco,1171.0,4,4,4,1,5,4,,,5,3,4,4,4,5.0,0.0,0.0,satisfied
Female,Loyal Customer,,Personal Travel,Eco,,4,3,4,4,3,4,3.0,,1,1,4,2,3,3.0,,16.0,satisfied
Female,Loyal Customer,27.0,,Business,,5,5,3,5,4,4,,,5,5,5,4,4,,,9.0,satisfied
Female,Loyal Customer,59.0,,Business,,3,2,2,2,4,4,3.0,,3,3,3,4,3,,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,25.0,Business travel,Business,,3,4,3,4,2,3,2.0,,5,2,5,5,4,,,0.0,neutral or dissatisfied
Male,Loyal Customer,62.0,,Eco,,2,1,1,1,2,2,2.0,,2,4,3,1,3,,,46.0,neutral or dissatisfied
Male,disloyal Customer,50.0,Business travel,Business,157.0,2,2,2,3,2,2,2.0,,4,4,4,4,4,2.0,,15.0,neutral or dissatisfied
Male,Loyal Customer,68.0,Personal Travel,Eco,,1,4,1,3,4,1,,,4,3,3,5,4,,,0.0,neutral or dissatisfied
Female,Loyal Customer,55.0,,Eco Plus,,2,2,2,3,1,3,,5.0,5,2,5,2,5,,,0.0,neutral or dissatisfied
Male,Loyal Customer,68.0,Business travel,Business,,1,4,4,4,1,4,,,1,1,1,3,1,,,0.0,neutral or dissatisfied
Male,disloyal Customer,56.0,Business travel,Business,229.0,2,2,2,3,3,2,,,4,3,3,3,4,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,38.0,Business travel,Eco,,5,5,5,5,5,5,,,5,4,5,3,4,,,9.0,satisfied
Female,disloyal Customer,27.0,Business travel,Business,,5,5,5,2,2,5,,,5,5,5,4,4,2.0,,0.0,satisfied
Female,Loyal Customer,58.0,Business travel,Business,,3,3,3,3,3,5,5.0,,5,5,5,3,5,,1.0,0.0,satisfied
Female,disloyal Customer,,Business travel,Eco,,4,4,4,1,3,4,,3.0,5,2,4,4,4,3.0,,5.0,satisfied
Female,Loyal Customer,56.0,Business travel,Business,,4,4,4,4,3,5,,,4,5,4,5,4,,,7.0,satisfied
Female,Loyal Customer,36.0,,Eco,,5,2,2,2,5,5,5.0,,1,1,1,5,4,,,4.0,satisfied
Female,Loyal Customer,,Personal Travel,Eco,,3,5,3,4,4,3,4.0,,5,3,3,3,5,,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,48.0,,Business,,0,0,0,4,2,5,,,4,4,4,3,4,3.0,,5.0,satisfied
Female,disloyal Customer,22.0,Business travel,Eco,,4,0,4,3,3,4,2.0,,2,2,2,4,4,3.0,0.0,0.0,satisfied
Male,Loyal Customer,,Business travel,Eco Plus,,3,1,1,1,3,3,,,4,1,3,2,4,3.0,,0.0,neutral or dissatisfied
Female,Loyal Customer,45.0,Personal Travel,Eco,,3,2,3,5,3,5,5.0,,3,3,5,4,3,3.0,0.0,1.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Business,,4,4,4,1,5,4,,,5,5,4,3,4,,0.0,0.0,satisfied
Female,Loyal Customer,,,Eco,,4,1,1,1,4,1,,,4,4,4,1,4,3.0,0.0,0.0,satisfied
Female,Loyal Customer,,Business travel,Business,2715.0,3,3,3,3,4,5,5.0,,4,5,4,5,4,5.0,,14.0,satisfied
Female,Loyal Customer,,Business travel,Business,,1,1,1,1,5,5,3.0,5.0,5,5,3,1,5,2.0,,0.0,satisfied
Male,Loyal Customer,41.0,,Eco,,4,1,1,1,4,4,,,3,1,3,3,2,,,38.0,neutral or dissatisfied
Female,Loyal Customer,58.0,,Business,,1,1,1,1,5,5,,,5,5,4,5,5,,0.0,0.0,satisfied
Male,Loyal Customer,,,Eco,,4,5,4,4,1,4,1.0,1.0,5,1,1,3,3,,3.0,0.0,satisfied
Male,Loyal Customer,,,Business,,0,4,0,4,3,4,5.0,,4,4,4,4,4,,,5.0,satisfied
Female,disloyal Customer,,Business travel,Business,,3,4,3,3,1,3,1.0,,2,5,4,1,3,,,0.0,neutral or dissatisfied
Male,Loyal Customer,56.0,,Business,,1,1,1,1,2,4,,,5,5,5,5,5,4.0,,0.0,satisfied
Male,Loyal Customer,60.0,Business travel,Business,723.0,5,5,5,5,5,5,,5.0,5,5,5,3,5,,,0.0,satisfied
Female,Loyal Customer,,,Eco,,3,2,3,3,1,3,,,2,4,4,1,4,,,0.0,neutral or dissatisfied
Male,Loyal Customer,,Personal Travel,Eco,,4,5,4,1,4,4,4.0,,4,2,5,4,5,,,8.0,neutral or dissatisfied
Male,Loyal Customer,11.0,Personal Travel,Eco,680.0,2,4,2,3,1,2,1.0,,5,2,5,5,4,,,0.0,neutral or dissatisfied
Female,Loyal Customer,,,Eco,160.0,3,3,3,3,3,4,,,1,3,1,4,1,,,0.0,neutral or dissatisfied
Male,disloyal Customer,49.0,Business travel,Eco,,3,3,3,3,3,3,,,1,5,3,3,5,,,0.0,neutral or dissatisfied
Female,Loyal Customer,18.0,,Eco Plus,,2,4,0,1,5,0,,,5,3,5,5,1,5.0,1.0,11.0,neutral or dissatisfied
Male,Loyal Customer,38.0,,Business,,3,1,3,3,4,4,3.0,,2,3,5,3,2,3.0,7.0,0.0,neutral or dissatisfied
Male,Loyal Customer,37.0,Business travel,Eco,912.0,3,2,2,2,3,3,,,4,2,3,1,4,3.0,,0.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Business,,2,3,3,2,1,3,1.0,,3,4,5,5,4,,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,43.0,Business travel,Business,,1,1,1,1,3,5,,,4,4,4,5,4,,,39.0,satisfied
Male,Loyal Customer,24.0,,Eco,,2,1,1,1,2,2,1.0,,3,4,2,1,2,2.0,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,59.0,,Business,,4,4,2,4,3,5,,,5,5,5,4,5,,96.0,73.0,satisfied
Female,Loyal Customer,,Business travel,Business,,5,5,5,5,4,4,4.0,,3,2,2,5,3,,,0.0,satisfied
Male,disloyal Customer,,Business travel,Business,,5,5,5,1,3,5,3.0,,5,3,5,3,4,3.0,0.0,0.0,satisfied
Female,Loyal Customer,,,Eco,,2,5,2,2,1,2,,,4,4,4,3,5,,,18.0,neutral or dissatisfied
Male,Loyal Customer,,Personal Travel,Eco,964.0,2,3,2,3,3,2,,,2,3,4,1,3,,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,,Business travel,Business,307.0,4,4,4,4,3,5,4.0,,5,5,5,5,5,5.0,9.0,7.0,satisfied
Female,disloyal Customer,7.0,Business travel,Eco,,1,2,2,2,2,2,,,3,2,4,5,5,2.0,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,8.0,,Eco,,1,5,1,3,1,1,4.0,1.0,2,4,1,2,5,1.0,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,49.0,,Eco,,2,4,3,4,3,4,,,1,4,4,4,3,,,52.0,neutral or dissatisfied
Female,Loyal Customer,64.0,Business travel,Business,,1,2,2,2,2,3,3.0,,1,1,1,3,1,2.0,,1.0,neutral or dissatisfied
Female,Loyal Customer,21.0,Personal Travel,Eco,,1,5,1,1,2,1,,,3,5,5,3,4,2.0,,19.0,neutral or dissatisfied
Male,Loyal Customer,48.0,,Business,,3,3,3,3,5,3,,,5,5,5,5,5,,,19.0,satisfied
Male,disloyal Customer,,,Business,,2,2,2,4,3,2,5.0,,3,2,3,2,3,3.0,0.0,1.0,neutral or dissatisfied
Male,Loyal Customer,,Personal Travel,Eco,,2,5,3,3,4,3,,,3,5,5,3,5,,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,56.0,,Business,,0,5,1,3,1,1,,,4,4,4,1,4,,0.0,0.0,satisfied
Female,Loyal Customer,50.0,,Business,,3,3,3,3,5,4,4.0,,5,4,5,3,5,,0.0,26.0,satisfied
Female,Loyal Customer,41.0,Business travel,Business,2433.0,2,2,2,2,2,5,,,3,4,3,3,3,,,0.0,satisfied
Female,Loyal Customer,,Personal Travel,Eco,691.0,3,4,3,3,3,3,3.0,3.0,3,2,4,5,5,,,2.0,neutral or dissatisfied
Female,Loyal Customer,,Personal Travel,Eco,2762.0,4,4,4,4,4,4,4.0,,4,4,4,4,3,4.0,3.0,0.0,satisfied
Female,Loyal Customer,46.0,Personal Travel,Eco,,4,5,4,3,5,3,,2.0,2,4,2,3,2,,0.0,15.0,neutral or dissatisfied
Female,Loyal Customer,52.0,,Eco,,1,5,1,3,2,5,1.0,,3,1,3,2,3,3.0,,0.0,neutral or dissatisfied
Female,Loyal Customer,,Business travel,Eco,,4,2,1,1,4,4,3.0,,4,4,4,1,4,,,6.0,neutral or dissatisfied
Female,Loyal Customer,29.0,Personal Travel,Eco,,4,1,0,4,2,0,,,3,1,3,4,4,2.0,,0.0,satisfied
Male,Loyal Customer,,Personal Travel,Business,,0,3,0,3,2,4,4.0,,3,3,3,3,3,,,3.0,satisfied
Male,Loyal Customer,32.0,Personal Travel,Eco,,4,4,4,4,2,4,,,4,5,4,4,3,2.0,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,60.0,,Business,,5,5,5,5,3,5,5.0,4.0,4,4,4,3,4,,,0.0,satisfied
Female,Loyal Customer,70.0,Personal Travel,Eco,,3,4,3,4,2,4,4.0,,3,3,3,2,3,,0.0,4.0,neutral or dissatisfied
Female,Loyal Customer,32.0,Personal Travel,Eco,,3,5,3,5,5,3,5.0,,5,2,5,5,4,,,0.0,neutral or dissatisfied
Female,Loyal Customer,,,Business,,2,2,2,2,3,3,3.0,,3,4,5,4,5,,,0.0,satisfied
Male,Loyal Customer,41.0,Personal Travel,Eco,,5,5,5,5,4,5,4.0,,3,3,4,3,5,,0.0,0.0,satisfied
Female,Loyal Customer,44.0,Business travel,Business,,2,2,2,2,4,4,,,2,2,2,1,2,,0.0,2.0,neutral or dissatisfied
Male,disloyal Customer,11.0,,Eco,,3,3,3,3,1,3,,1.0,4,2,3,3,4,,,3.0,neutral or dissatisfied
Male,Loyal Customer,46.0,Business travel,Business,862.0,1,5,1,1,5,5,5.0,,5,5,5,4,5,3.0,,50.0,satisfied
Female,Loyal Customer,,,Eco,563.0,1,5,5,5,1,3,,,1,1,1,3,1,4.0,,25.0,neutral or dissatisfied
Female,Loyal Customer,57.0,,Eco,,3,1,1,1,3,3,,,3,4,4,3,4,,57.0,138.0,neutral or dissatisfied
Female,Loyal Customer,31.0,,Business,,0,0,0,1,2,2,,,4,5,3,4,1,2.0,0.0,0.0,satisfied
Female,disloyal Customer,,Business travel,Eco,,2,0,2,1,3,2,3.0,,3,2,5,5,4,3.0,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Business,371.0,3,3,3,5,2,3,1.0,,4,3,4,5,5,,,0.0,neutral or dissatisfied
Male,Loyal Customer,48.0,Personal Travel,Eco,,2,4,2,4,5,2,,,5,3,2,3,3,5.0,,0.0,neutral or dissatisfied
Female,Loyal Customer,,Business travel,Business,,5,5,1,5,4,4,4.0,4.0,2,3,4,1,2,,33.0,16.0,satisfied
Male,Loyal Customer,66.0,Business travel,Business,,1,1,1,1,2,3,,,5,5,5,2,5,5.0,,0.0,satisfied
Male,Loyal Customer,57.0,,Business,,5,5,5,5,4,5,4.0,,4,4,5,3,4,3.0,0.0,45.0,satisfied
Female,Loyal Customer,,Business travel,Eco,,2,3,3,3,2,5,2.0,,2,2,2,2,2,5.0,42.0,24.0,satisfied
Female,disloyal Customer,,Business travel,Eco,,1,4,1,4,1,2,,,2,4,3,2,3,2.0,142.0,116.0,neutral or dissatisfied
Male,Loyal Customer,40.0,,Business,,5,5,5,5,3,3,4.0,,4,4,4,5,4,,,5.0,satisfied
Male,Loyal Customer,38.0,Business travel,Business,2386.0,5,5,5,5,1,5,2.0,,4,4,4,4,4,5.0,,0.0,satisfied
Male,Loyal Customer,,,Eco,,3,5,3,3,5,3,5.0,,4,4,5,5,4,,,5.0,neutral or dissatisfied
Male,Loyal Customer,39.0,Business travel,Business,,2,2,5,2,4,2,,,4,4,5,2,4,,0.0,0.0,satisfied
Female,Loyal Customer,,Business travel,Business,,4,4,2,4,5,4,5.0,,5,5,5,5,5,3.0,,49.0,satisfied
Female,Loyal Customer,41.0,Personal Travel,Eco,719.0,3,3,3,3,2,3,,,3,1,4,2,3,2.0,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,38.0,Business travel,Eco,855.0,2,1,1,4,1,5,,,5,3,3,4,3,,0.0,47.0,neutral or dissatisfied
Male,Loyal Customer,49.0,,Business,,3,3,3,3,5,4,,,5,5,5,4,5,,0.0,0.0,satisfied
Male,Loyal Customer,,Personal Travel,Eco,,1,4,1,4,2,1,2.0,,3,2,3,4,3,,3.0,0.0,neutral or dissatisfied
